time,63
day,60
sun,58
like,58
know,55
one,55
way,52
make,52
away,44
would,44
get,44
man,44
got,42
eyes,41
good,41
see,41
night,37
heart,36
say,34
little,33
need,33
sky,32
hear,32
home,31
think,31
